,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,problem_of_product
75150,1.0,DONT BUY IT,"Where do I start. I found this unit on Amazon. The reviews were good so I got ut. Easy to install and operate. It looks good on the counter top.<br />Small issue. The touch buttons are not finger sensitive. Basically if water or anything touches them it will operate.<br />Main problem. A month ago I was cooking using one burner set at 3. I heard a loud pop and no power to the cooktop. I checked the breaker, wires. No issue found. Once I opened the unit I found a blown fuse and the burnt trace.<br />I contacted them about it but unfortunately my warranty was expired. 1 year. I used the cooktop for an extra 6 months.<br />I have to say the gentleman on the email was kind enough to provide a free replacement board. Well,<br />3 times they sent me the wrong parts. 3 times.  I provided photos and part numbers on what i needed. Shipping? It does not work either. They creat a label on Monday but it ships Friday. 3 times. Replacement parts are not available anywhere according to customers service.<br />Sorry gasland but....never buy this again.","[{'small_image_url': 'https://m.media-amazon.com/images/I/71629BtUd9L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71629BtUd9L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71629BtUd9L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/717i4aU2XAL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/717i4aU2XAL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/717i4aU2XAL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/81WpzJGWQwL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81WpzJGWQwL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81WpzJGWQwL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/81dPNUp7g9L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81dPNUp7g9L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81dPNUp7g9L._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07PNGRGNM,B07PNGRGNM,AH2Q5TXMWZL7VAH35VLNZPSFRLOA,1646702157101,0,True,Not as described
36721,1.0,Knob keyed 180 degrees out,"As they say, picture is worth a thousand words. On the left is the actual Whirlpool knob - several of mine developed cracks with age. This knob, regardless of the seller photos showing key oriented correctly is actually 180 out. On the photo, index on the other side is pointing the same way for both knobs and as you can tell, the one on the right will never fit correctly.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71TYa5RCwyL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71TYa5RCwyL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71TYa5RCwyL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08533156Q,B08533156Q,AHBNFH5VK6I7TAJXHWYSL6ADDJVQ,1601253738711,7,True,Not as described
44307,3.0,Does not stop moisture forming,"The gasket fits well and was easy to install. However, it did not rectify the problem of preventing  air leak that causes moisture forming on the gasket and inside the door. I must wipe the gasket and inside door each time I open door to prevent mildew accumulating on gasket.","[{'small_image_url': 'https://m.media-amazon.com/images/I/512NKgUbT8L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/512NKgUbT8L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/512NKgUbT8L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/B1ysuAp4kPS._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/B1ysuAp4kPS._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/B1ysuAp4kPS._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B008KFIVQM,B008KFIVQM,AHB4UAQTO3RKXO3M3RYGGECLZ57A,1632054302630,2,True,Not as described
4587,1.0,Product Does not work after 2 months of use,"As you can see in the pictures . it has no power and defrosted. i plugged it in and out of the socket. I just purchased this last Sept 9,2019. Tried calling their phone number listed here on amazon but does not work. Luckily I spoke to Mr. Tony who works with Amazon and gave me a refund. Amazon is great. But beware of this seller and this product it is not worth the money !","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61G7gVKY1qL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61G7gVKY1qL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61G7gVKY1qL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61I+NUyMOWL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61I+NUyMOWL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61I+NUyMOWL.jpg', 'attachment_type': 'IMAGE'}]",B07KSPY3KQ,B07KSPY3KQ,AFAYHRAAGKFADQZ2JSYNJ6MVURCQ,1575930255151,3,True,Broken/Defective
23647,2.0,Works but doesn’t last too long,Bought for GE GDTP180GD5WW. Worked as advertised but failed after 22 months of use. Seems like a dryer belt should last longer than that.,"[{'small_image_url': 'https://m.media-amazon.com/images/I/61hhPIugfbL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61hhPIugfbL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61hhPIugfbL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07N82GT4R,B07N82GT4R,AFBVZ4UC3RN77PU2XB6B4KQ2W4HQ,1671592772373,0,True,Broken/Defective
55876,1.0,No Temperature Adjustment,"Cute, relatively inexpensive  little refrigerator I got to keep partial cans of pet food 2-3 days. Worked great for a few weeks, but has started freezing the contents. As mentioned in the headline, there is no temperature control. I was going to return it for either a replacement or reimbursement , but discovered there was a THIRTY DAY return deadline which expired last week. So BUYER BEWARE. This is a poorly designed product with what I consider a ‘conveniently’ minuscule warranty period.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61eYj1uwtGL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61eYj1uwtGL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61eYj1uwtGL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B01MRUXFJT,B079VRJTM6,AGQS4BZDMEIPJCQB7F3RZYYQ7IBA,1644766200796,4,True,Poor performance
43049,1.0,Does not work,"I’ve had this Ice maker for less than a month and it is already not working properly. It started out working fine making ice pellets like described— however my initial issue was that the ice did not remain cold in the maker, the ice melts moments after being made because there is no insulation. When I received it I couldn’t figure out how to use it because it didn’t make sense to me that you would put water in the basin that appeared to be where the ice would be stored.<br /><br />It all made sense once the ice started melting and recycling to become ice again. This was only a mild annoyance until the ice started tasting like chemicals, I assume from the melting and refreezing with a the same Freon repeatedly.<br /><br />I solved this problem by PURCHASING an ice storage been for the freezer and dumping it in there as soon as it was made; and using bottled water rather than tap.<br /><br />After another week or so, the NEW problem was that the ice was turning into tiny caps, rather than bullets as described. This began yesterday. I thought perhaps the machine needed to defrost, so I unplugged it overnight.<br /><br />This morning I plugged it back in and the first few rotations were normal ice bullets, then they became shorter, and shorter until they weren’t even ice caps. The images provided are of what they started out looking like and what they looked like before I called Amazon to receive a refund. I didn’t bother to take another picture, but they are even smaller still.<br /><br />Don’t waste your money.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61N9Eo-8+KL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61N9Eo-8+KL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61N9Eo-8+KL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61vg0+ysStL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61vg0+ysStL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61vg0+ysStL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08ZYJ8CRX,B0C57WMPJQ,AFP2ZBPOLUOXREGHATXCM2X2ZN7A,1651422143410,44,True,Not as described
30216,1.0,The picture above is not what you would get!,Very unhappy with this item!,"[{'small_image_url': 'https://m.media-amazon.com/images/I/71kuQPc6CpL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71kuQPc6CpL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71kuQPc6CpL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/81F19K2VMoL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81F19K2VMoL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81F19K2VMoL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B097PNJ4KL,B097PNJ4KL,AHQ6OM7Y554MWKN5HTTK2VHORTFQ,1643381921470,2,True,Not as described
21081,1.0,Not what I expected,The vent was easy to hook up and is well made for plastic but unfortunately does not perform that great. I've been using it for over 6 months and it traps maybe 60% of the lint but still pumps a fair amount out into the garage. The main thing that I dislike is that it does nothing to remove moisture and in fact puts more moisture out due to the water in the lint trap. Everything has a wet linty film. It makes a mess in front of the unit. The air pushes the drawer open if you don't put enough water in it. This really isn't the solution I was looking for...,"[{'small_image_url': 'https://m.media-amazon.com/images/I/41eWafkS3YL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/41eWafkS3YL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/41eWafkS3YL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/51ogr2b5ALL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/51ogr2b5ALL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/51ogr2b5ALL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B008RNPOIU,B008RNPOIU,AGHHC7KSKCH6HD4C3ASWL3DV3AUA,1675661901736,2,True,Poor performance
21522,1.0,Does not fit LT1000P for LG Signature Suite Refridgerator SK SCR 3001P,"I bought 6 of these last year to be prepared, only to learn this product does not fit.  The placement of the top tabs are not the same and do not fit to lock in.  The bottom connection points are also of a different shape and do not fit.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61vWjIGrsNL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61vWjIGrsNL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61vWjIGrsNL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71EJgL-nOKL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71EJgL-nOKL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71EJgL-nOKL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09PBDY3CX,B09PBDY3CX,AE24XKQKB5F53E4MOFQHL6U5NHQQ,1679767877156,0,True,Not as described
52668,3.0,Good price but poor quality control,"This part was priced affordably and arrived quickly. However, the part we received was either significantly bent or was actually a different part than it was supposed to be. The square base was supposed to be flat but the one we received was shaped like an S. We were able to bend it and make it work but if we werent eager to repair our dryer or if the part was more expensive, we would have returned the part for a replacement.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61dmIQrWWxL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61dmIQrWWxL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61dmIQrWWxL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00M0YXT0W,B00M0YXT0W,AHNAC3EMEF5BBBC3DIPIULPBLN7A,1653413866562,0,True,Not as described
13115,2.0,Loved it until…,I loved this filter until the gold started coming off!,"[{'small_image_url': 'https://m.media-amazon.com/images/I/71AChxRlEqL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71AChxRlEqL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71AChxRlEqL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71Ci0K34FZL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71Ci0K34FZL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71Ci0K34FZL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08BWXQSHZ,B08BWZ8G48,AHZH7WSBNL4SC5CHLJQZX6NKQ43A,1662726575437,0,True,Broken/Defective
51087,3.0,Arrived in disgusting condition,"Let me start with the product itself is great, I bought a brand new one for my mother and we love it. I loved it so much, I bought the same one in brand new condition in its original box. Well it arrived disgusting — filthy with a dirty film all over it, and scuffed up. Amazon, you owe me a partial refund for the condition this came in. I’m 8 months pregnant and not going to haul this huge, heavy thing to return.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61OYnrWKZSL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61OYnrWKZSL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61OYnrWKZSL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61s0-zNTn9L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61s0-zNTn9L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61s0-zNTn9L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71HkvF0gTCL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71HkvF0gTCL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71HkvF0gTCL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71kqBOMrppL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71kqBOMrppL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71kqBOMrppL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09JY77GCY,B09JY77GCY,AFORRBFUGBRSLE37TWXAM3P2ESMQ,1680227173458,0,True,Not as described
71700,1.0,Part leaked water through a seal. Test first,Part arrived very well packaged and was brand new.  Unfortunately the part leaked a lot from the area where the grounds are connected.<br /><br />This ended up damaging my kitchen floors and cost me precious time.<br /><br />Plug the hose hookups and fill with water before installing so you don't suffer the same fate I did<br /><br />So $#@*! frustrating!!!!,"[{'small_image_url': 'https://m.media-amazon.com/images/I/714zNqeAteL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/714zNqeAteL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/714zNqeAteL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00LKOPRGC,B00LKOPRGC,AHINKJZAE3KD7CVNBMY6QXTARWDQ,1642558232691,0,True,Poor performance
